Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
61,Eddie Murphy,"April 3, 1961",5′ 9″ (1.75 m),"['Actor', 'Writer', 'Producer']",44 wins & 106 nominations total,The Nutty Professor (1996),"Brooklyn, New York City, New York, USA"
62,Catherine O'Hara,"March 4, 1954",5′ 4″ (1.63 m),"['Actress', 'Writer', 'Producer']",33 wins & 42 nominations total,A Mighty Wind (2003),"Toronto, Ontario, Canada"
63,Ana de Armas,"April 30, 1988",5′ 6¼″ (1.68 m),"['Actress', 'Producer']",11 wins & 34 nominations total,Blade Runner 2049 (2017),"Havana, Cuba"
64,Myha'la,"April 6, 1996",5′ 1″ (1.55 m),['Actress'],,Industry (2020–2022),"California, USA"
65,Molly Gordon,"December 6, 1994",5′ 4″ (1.63 m),"['Actress', 'Writer', 'Director']",1 win & 9 nominations,Theater Camp (2023),"Los Angeles, California, USA"
66,Annabelle Wallis,"September 5, 1984",5′ 7″ (1.70 m),"['Actress', 'Soundtrack']",1 win & 2 nominations,The Mummy (2017),"Oxford, Oxfordshire, England, UK"
67,Cillian Murphy,"May 25, 1976",5′ 7¾″ (1.72 m),"['Actor', 'Producer', 'Writer']",13 wins & 59 nominations total,28 Days Later (2002),"Douglas, Cork, Ireland"
68,Paula Patton,"December 5, 1975",5′ 7¼″ (1.71 m),"['Actress', 'Producer', 'Additional Crew']",1 win & 12 nominations,Precious (2009),"Los Angeles, California, USA"
69,Henry Cavill,"May 5, 1983",6′ 1″ (1.85 m),"['Actor', 'Additional Crew', 'Producer']",3 wins & 15 nominations,Man of Steel (2013),"Jersey, Channel Islands"
70,Jillian Bell,"April 25, 1984",5′ 6″ (1.68 m),"['Actress', 'Writer', 'Producer']",1 win & 5 nominations total,22 Jump Street (2014),"Las Vegas, Nevada, USA"
71,Harris Dickinson,"June 24, 1996",6′ 2″ (1.88 m),"['Actor', 'Director', 'Writer']",3 wins & 13 nominations total,Beach Rats (2017),"Leytonstone, Essex, England, UK"
72,Teri Hatcher,"December 8, 1964",5′ 6″ (1.68 m),"['Actress', 'Writer', 'Director']",6 wins & 19 nominations total,Tomorrow Never Dies (1997),"Palo Alto, California, USA"
73,Walton Goggins,"November 10, 1971",5′ 10″ (1.78 m),"['Actor', 'Producer', 'Soundtrack']",8 wins & 31 nominations total,Justified (2010–2015),"Birmingham, Alabama, USA"
74,Jennifer Jason Leigh,"February 5, 1962",5′ 3″ (1.60 m),"['Actress', 'Producer', 'Writer']",29 wins & 70 nominations total,The Hateful Eight (2015),"Hollywood, Los Angeles, California, USA"
75,Beverly D'Angelo,"November 15, 1951",5′ 2″ (1.57 m),"['Actress', 'Producer', 'Soundtrack']",1 win & 5 nominations total,National Lampoon's Vacation (1983),"Columbus, Ohio, USA"
76,Gary Oldman,"March 21, 1958",5′ 8½″ (1.74 m),"['Actor', 'Producer', 'Director']",64 wins & 103 nominations total,The Dark Knight (2008),"New Cross, London, England, UK"
77,Todd Haynes,"January 2, 1961",5′ 10″ (1.78 m),"['Director', 'Writer', 'Producer']",63 wins & 113 nominations total,Far from Heaven (2002),"Los Angeles, California, USA"
78,David Tennant,"April 18, 1971",6′ 1″ (1.85 m),"['Actor', 'Producer', 'Director']",47 wins & 38 nominations,Doctor Who (2005–2023),"Bathgate, West Lothian, Scotland, UK"
79,Charlie Evans,,,"['Actor', 'Soundtrack']",,Leave the World Behind (2023),
80,Michelle Monaghan,"March 23, 1976",5′ 7″ (1.70 m),"['Actress', 'Producer']",3 wins & 8 nominations,Gone Baby Gone (2007),"Winthrop, Iowa, USA"
81,Xochitl Gomez,"April 29, 2006",5′ 4¼″ (1.63 m),['Actress'],13 wins & 3 nominations,Doctor Strange in the Multiverse of Madness (2022),"Los Angeles, California, USA"
82,Jenna Ortega,"September 27, 2002",5′ 1″ (1.55 m),"['Actress', 'Producer', 'Soundtrack']",7 wins & 22 nominations total,Scream (2022),"Coachella Valley, California, USA"
83,Casey Wilson,"October 24, 1980",5′ 8″ (1.73 m),"['Actress', 'Writer', 'Additional Crew']",1 win & 10 nominations,Gone Girl (2014),"Alexandria, Virginia, USA"
84,Tom Cruise,"July 3, 1962",5′ 7″ (1.70 m),"['Actor', 'Producer', 'Director']",59 wins & 111 nominations total,Top Gun (1986),"Syracuse, New York, USA"
85,Sofia Boutella,"April 3, 1982",5′ 5″ (1.65 m),"['Actress', 'Soundtrack']",1 win & 2 nominations,Kingsman: The Secret Service (2014),"Bab El Oued, Algeria"
86,Alexander Skarsgård,"August 25, 1976",6′ 4½″ (1.94 m),"['Actor', 'Producer', 'Director']",13 wins & 40 nominations total,The Legend of Tarzan (2016),"Stockholm, Stockholms län, Sweden"
87,Dafne Keen,"January 4, 2005",5′ 1″ (1.55 m),['Actress'],5 wins & 17 nominations,Logan (2017),"Madrid, Spain"
88,Emily Blunt,"February 23, 1983",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Additional Crew']",22 wins & 122 nominations total,Edge of Tomorrow (2014),"Roehampton, London, England, UK"
89,Scarlett Estevez,"December 4, 2007",5′ 1½″ (1.56 m),"['Actress', 'Soundtrack']",5 nominations,Daddy's Home 2 (2017),"Los Angeles, California, USA"
90,Brady Noon,"December 30, 2005",,"['Actor', 'Soundtrack']",1 win & 3 nominations,The Mighty Ducks: Game Changers (2021–2022),"Forked River, New Jersey, USA"
91,Karen Allen,"October 5, 1951",5′ 5″ (1.65 m),"['Actress', 'Director', 'Soundtrack']",12 wins & 6 nominations,Raiders of the Lost Ark (1981),"Carrollton, Illinois, USA"
92,Raegan Revord,"January 3, 2008",5′ 4½″ (1.64 m),['Actress'],1 nomination,Young Sheldon (2017–2024),"San Diego, California, USA"
93,Lesley-Ann Brandt,December 2,5′ 7″ (1.70 m),"['Actress', 'Producer', 'Soundtrack']",,Lucifer (2016–2021),"Cape Town, South Africa"
94,Jennifer Wenger,"December 8, 1983",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Writer']",2 wins & 1 nomination,Jimmy Kimmel Live! (2006–2007),"Maynardville, Tennessee, USA"
95,Brendan Fraser,"December 3, 1968",6′ 3½″ (1.92 m),"['Actor', 'Producer', 'Art Department']",39 wins & 49 nominations total,The Mummy (1999),"Indianapolis, Indiana, USA"
96,Anna Sawai,June 11,5′ 1″ (1.55 m),['Actress'],1 win & 1 nomination,Ninja Assassin (2009),New Zealand
97,Alison Brie,"December 29, 1982",5′ 4″ (1.63 m),"['Actress', 'Producer', 'Writer']",8 wins & 27 nominations,GLOW (2017–2019),"Hollywood, Los Angeles, California, USA"
98,Christopher Nolan,"July 30, 1970",5′ 11¼″ (1.81 m),"['Writer', 'Producer', 'Director']",153 wins & 260 nominations total,Tenet (2020),"London, England, UK"
99,Neal McDonough,"February 13, 1966",6′ (1.83 m),"['Actor', 'Producer', 'Writer']",5 wins & 7 nominations,Minority Report (2002),"Dorchester, Massachusetts, USA"
100,Joey King,July 30,5′ 4″ (1.63 m),"['Actress', 'Producer', 'Soundtrack']",6 wins & 21 nominations total,The Act (2019– ),"Los Angeles, California, USA"
